name,quartet_name,num_mvmts,set_abb,date,set_name,notes
"No. 1, K. 80/73f",80,4,1,1770,No. 1,
"No. 2, K. 155/134a",155,3,M,1772,Milanese,oct.-nov. 1772
"No. 3, K. 156",156,3,M,1772,Milanese,late 1772
"No. 4, K. 157",157,3,M,1772-1773,Milanese,
"No. 5, K. 158",158,2,M,1772-1773,Milanese,
"No. 6, K. 159",159,2,M,1773,Milanese,early 1773
"No. 7, K. 160 ",160,2,M,1773,Milanese,early 1773
"No. 8, K. 168",168,4,V,1773.2,Viennese,aug. 1773
"No. 9, K. 169",169,3,V,1773.2,Viennese,aug 1773
"No. 10, K. 170",170,3,V,1773.2,Viennese,aug 1773
"No. 11, K. 171",171,4,V,1773.2,Viennese,aug. 1773
"No. 12, K. 172",172,3,V,1773.3,Viennese,sept. 1773
"No. 13, K. 173",173,3,V,1773.3,Viennese,sept. 1773
"Flute Quartet No. 1, K. 285",285,3,F,1777,Flute No. 1,
"Flute Quartet No. 4, K. 298",298,3,F,1786-87,Flute No. 4,
"Oboe Quartet in F Major, K. 370",370,2,O,1781,Oboe,
"No. 14, K. 387",387,4,H,1782,Haydn,
"No. 15, K. 421",421,4,H,1783,Haydn,June 1783
"No. 16, K. 428",428,3,H,1783.2,Haydn,june-july 1783
"No. 17, K. 458",458,3,H,1784,Haydn,
"No. 18, K. 464",464,3,H,1785,Haydn,"jan. 10, 1785"
"No. 19, K. 465",465,4,H,1785.2,Haydn,"jan. 14, 1785"
"No. 20, K. 499",499,3,20,1786,No. 20,
"Adagio and Fugue in C minor, K. 546",546,2,A,1788,Adagio & Fugue,
"No. 21, K. 575",575,2,P,1789,Prussian,
"No. 22, K. 589",589,3,P,1790,Prussian,may 1790
"No. 23, K. 590",590,4,P,1790.2,Prussian,june 1790
"Op. 1, No. 0, Hob II:6",op1_no0,3,1,1755-58,Op. 1,
"Op. 1, No. 1, Hob III:1",op1_no1,5,1,1755-58,Op. 1,
"Op. 1, No. 2, Hob III:2",op1_no2,5,1,1755-58,Op. 1,
"Op. 1, No. 3, Hob III:3",op1_no3,4,1,1755-58,Op. 1,
"Op. 1, No. 4, Hob III:4",op1_no4,5,1,1755-58,Op. 1,
"Op. 1, No. 6, Hob III:6",op1_no6,4,1,1755-58,Op. 1,
"Op. 9, No. 2, Hob III:20",op9_no2,4,9,1769-70,Op. 9,
"Op. 9, No. 3, Hob III:21",op9_no3,3,9,1769-70,Op. 9,
"Op. 103 (incomplete), Hob III:83",op103,1,103,1803,Op. 103,
"Op. 17, No. 1, Hob III:25",op17_no1,4,17,1771,Op. 17,
"Op. 17, No. 2, Hob III:26",op17_no2,4,17,1771,Op. 17,
"Op. 17, No. 3, Hob III:27",op17_no3,4,17,1771,Op. 17,
